year,county,race,population,misdemeanor,felony,arrest_count
2005,Madera,White,59640,0.57071675,0.636789298,1458
2005,Madera,Hispanic,68823,1.140666922,0.982608696,3065
2005,Madera,Asian/Pacific Islander,2319,0.561901112,0.749832776,60
2005,Marin,All Combined,246688,0.906477578,0.528428094,7815
2005,Marin,Black,6794,4.050594097,3.662207358,1100
2005,Marin,White,187742,0.730164814,0.369899666,4628
2005,Marin,Hispanic,33093,1.495208892,0.935785953,1761
2005,Marin,Asian/Pacific Islander,12759,0.393637409,0.267558528,183
2005,Mariposa,All Combined,18057,1.581448831,0.926421405,1020
2005,Mariposa,White,15271,1.628976619,0.893645485,876
2005,Mariposa,Hispanic,1468,1.592564201,1.002675585,84
2005,Mendocino,All Combined,88014,1.746646225,1.373244147,5846
2005,Mendocino,Black,504,5.475661173,6.503010033,121
2005,Mendocino,White,63664,1.737064009,1.294314381,4129
2005,Mendocino,Hispanic,16927,1.385971637,1.224749164,937
2005,Mendocino,Asian/Pacific Islander,1307,0.645074741,0.818729097,38
2005,Merced,All Combined,240600,1.622844002,1.451505017,15918
2005,Merced,Black,8506,4.501724799,4.144481605,1571
2005,Merced,White,88232,1.364890763,1.313043478,5014
2005,Merced,Hispanic,121116,1.799156765,1.525752508,8742
2005,Merced,Asian/Pacific Islander,17577,0.586431583,0.605351171,458
2005,Modoc,All Combined,9589,1.111153699,0.927759197,411
2005,Modoc,White,7719,0.973169797,0.806020067,289
2005,Modoc,Hispanic,1192,1.093139134,1.458862876,60
2005,Mono,All Combined,13801,1.341510157,0.959866221,681
2005,Mono,White,10005,1.382905328,0.875585284,492
2005,Mono,Hispanic,3084,0.907244155,1.019397993,120
2005,Monterey,All Combined,407973,1.153315447,0.860869565,17920
2005,Monterey,Black,12500,2.514373323,2.418729097,1298
2005,Monterey,White,150073,0.926025297,0.62006689,5122
2005,Monterey,Hispanic,209456,1.361824454,1.026086957,10900
2005,Monterey,Asian/Pacific Islander,25802,0.449980836,0.393979933,471
2005,Napa,All Combined,130740,1.195860483,0.76722408,5627
2005,Napa,Black,2013,2.2660023,2.691638796,201
2005,Napa,White,82326,1.080107321,0.67826087,3168
2005,Napa,Hispanic,36749,1.475661173,0.982608696,1989
2005,Napa,Asian/Pacific Islander,6709,0.36565734,0.268896321,92
2005,Nevada,All Combined,97802,1.091222691,0.686287625,3890
2005,Nevada,Black,310,6.305864316,4.315719064,74
2005,Nevada,White,86356,1.084706784,0.670234114,3391
2005,Nevada,Hispanic,7272,1.106937524,0.864882943,320
2005,Nevada,Asian/Pacific Islander,1107,2.181295516,1.087625418,83
2005,Orange,All Combined,2957151,0.839018781,0.686956522,96523
2005,Orange,Black,44457,2.612495209,2.601337793,4808
2005,Orange,White,1423285,0.815638176,0.559866221,42769
2005,Orange,Hispanic,953197,1.053660406,1.019397993,41398
2005,Orange,Asian/Pacific Islander,471594,0.276351092,0.237458194,5153
2005,Placer,All Combined,312632,0.822920659,0.923076923,11082
2005,Placer,Black,3403,2.55691836,4.776588629,471
2005,Placer,White,248949,0.807972403,0.852173913,8460
2005,Placer,Hispanic,35525,1.085473361,1.31638796,1717
2005,Placer,Asian/Pacific Islander,15072,0.231506324,0.550501672,215
2005,Plumas,All Combined,20859,1.903794557,1.263545151,1463
2005,Plumas,Black,157,8.056343427,6.390635452,51
2005,Plumas,White,18188,1.900728248,1.187959866,1255
2005,Plumas,Hispanic,1398,1.31582982,1.244147157,74
2005,Riverside,All Combined,1934724,0.672671522,0.908361204,61338
2005,Riverside,Black,117060,1.13031813,2.040133779,7131
2005,Riverside,White,863730,0.592180912,0.738461538,23253
2005,Riverside,Hispanic,807270,0.760444615,1.028762542,29032
2005,Riverside,Asian/Pacific Islander,103131,0.144883097,0.179264214,677
2005,Sacramento,All Combined,1358169,0.943273285,1.238795987,58840
2005,Sacramento,Black,133798,2.547719433,4.327759197,17677
2005,Sacramento,White,726738,0.802223074,0.896989967,25022
2005,Sacramento,Hispanic,255193,1.041395171,1.326421405,12042
2005,Sacramento,Asian/Pacific Islander,184428,0.308547336,0.466889632,2788
2005,San Benito,All Combined,55155,1.092372557,0.742474916,2203
2005,San Benito,Black,405,2.082023764,2.642809365,38
2005,San Benito,White,23257,0.819087773,0.652842809,728
2005,San Benito,Hispanic,29065,1.18282867,0.777926421,1250
2005,San Benito,Asian/Pacific Islander,1351,3.830203143,1.535117057,166
2005,San Bernardino,All Combined,1942734,1.222690686,1.393311037,104014
2005,San Bernardino,Black,167669,2.221924109,3.087625418,17597
2005,San Bernardino,White,751635,1.051360675,1.275585284,35482
2005,San Bernardino,Hispanic,864052,1.295132235,1.343143813,47356
2005,San Bernardino,Asian/Pacific Islander,113246,0.172863166,0.163879599,812
2005,San Diego,All Combined,2970136,0.978152549,0.846153846,116002
2005,San Diego,Black,152930,2.758144883,3.100334448,18436
2005,San Diego,White,1546253,0.898428517,0.613377926,51311
2005,San Diego,Hispanic,876863,1.054810272,1.051505017,39109
2005,San Diego,Asian/Pacific Islander,302807,0.318896129,0.382608696,4387
2005,San Francisco,All Combined,779657,0.690302798,1.517056856,31729
2005,San Francisco,Black,52672,3.85320046,11.26822742,14172
2005,San Francisco,White,335253,0.74779609,1.388628763,13503
2005,San Francisco,Hispanic,114239,0.084706784,0.019397993,285
2005,San Francisco,Asian/Pacific Islander,255693,0.027213492,0.006020067,206
2005,San Joaquin,All Combined,651625,1.450364124,1.439464883,38712
2005,San Joaquin,Black,44805,4.036795707,4.507023411,7745
2005,San Joaquin,White,270417,1.263702568,1.290301003,14147
2005,San Joaquin,Hispanic,228124,1.57339977,1.419397993,14212
2005,San Joaquin,Asian/Pacific Islander,87214,0.550402453,0.595317726,2028
2005,San Luis Obispo,All Combined,259944,1.472594864,0.694314381,12739
2005,San Luis Obispo,Black,5073,3.63434266,1.872240803,626
2005,San Luis Obispo,White,192393,1.416634726,0.608026756,8894
2005,San Luis Obispo,Hispanic,47755,1.729014948,1.05083612,2920
2005,San Luis Obispo,Asian/Pacific Islander,8024,0.530088156,0.325083612,150
2005,San Mateo,All Combined,699276,0.684936757,0.6,19061
2005,San Mateo,Black,20381,2.557684937,3.547826087,2471
2005,San Mateo,White,317525,0.565733998,0.418060201,6742
2005,San Mateo,Hispanic,167333,1.049060943,0.895652174,6982
2005,San Mateo,Asian/Pacific Islander,174130,0.277500958,0.288294314,2026
2005,Santa Barbara,All Combined,411685,2.349175929,0.77993311,30746
2005,Santa Barbara,Black,7735,5.619394404,2.533779264,1452
2005,Santa Barbara,White,216369,2.652740514,0.553177258,17021
2005,Santa Barbara,Hispanic,159248,1.986584898,1.094314381,11273
2005,Santa Barbara,Asian/Pacific Islander,18848,0.687236489,0.216722408,406
2005,Santa Clara,All Combined,1699520,0.93062476,0.801337793,63023
2005,Santa Clara,Black,42896,3.529321579,3.290301003,6098
2005,Santa Clara,White,677068,0.693369107,0.555852843,18089
2005,Santa Clara,Hispanic,433938,1.775009582,1.589966555,31372
2005,Santa Clara,Asian/Pacific Islander,499482,0.29359908,0.257525084,5887
2005,Santa Cruz,All Combined,254726,1.324262169,0.846822742,12050
2005,Santa Cruz,Black,2147,5.070141817,4.766555184,438
2005,Santa Cruz,White,160226,1.328478344,0.747826087,7359
2005,Santa Cruz,Hispanic,75122,1.386354925,1.060200669,3914
2005,Santa Cruz,Asian/Pacific Islander,10433,0.47374473,0.314381271,179
2005,Shasta,All Combined,174252,1.32694519,0.951839465,8932
2005,Shasta,Black,1333,5.233039479,5.419397993,309
2005,Shasta,White,147631,1.345726332,0.94916388,7633
2005,Shasta,Hispanic,12035,1.057493292,0.755852843,499
2005,Shasta,Asian/Pacific Islander,4037,0.788041395,0.894983278,142
2005,Sierra,All Combined,3430,1.575699502,1.072240803,196
2005,Sierra,White,3076,1.632426217,1.022073579,178
2005,Siskiyou,All Combined,44944,1.55116903,1.113043478,2573
2005,Siskiyou,Black,567,3.447681104,2.477591973,72
2005,Siskiyou,White,36722,1.615561518,1.133110368,2175
2005,Siskiyou,Hispanic,3998,0.891529322,0.870234114,145
2005,Siskiyou,Asian/Pacific Islander,613,1.188194711,1.418729097,33
2005,Solano,All Combined,410570,0.950939057,0.981939799,16499
2005,Solano,Black,60063,1.85588348,2.388628763,5142
2005,Solano,White,186372,0.872748179,0.834782609,6693
2005,Solano,Hispanic,85215,1.08317363,0.917056856,3627
2005,Solano,Asian/Pacific Islander,59018,0.258336527,0.298996656,679
2005,Sonoma,All Combined,469523,1.236489076,0.820735786,20974
2005,Sonoma,Black,6480,4.294365657,4.562541806,1170
2005,Sonoma,White,332437,1.105404369,0.695652174,13076
2005,Sonoma,Hispanic,99284,1.552318896,1.097658863,5683
2005,Sonoma,Asian/Pacific Islander,17032,0.674971253,0.357190635,391
2005,Stanislaus,All Combined,498019,1.185128402,1.589297659,27454
2005,Stanislaus,Black,12393,3.231889613,5.143812709,2011
2005,Stanislaus,White,259925,1.166730548,1.538461538,13986
2005,Stanislaus,Hispanic,185309,1.181678804,1.593311037,10238
2005,Stanislaus,Asian/Pacific Islander,25744,0.491376006,0.595317726,563
2005,Sutter,All Combined,88106,1.039862016,0.901672241,3710
2005,Sutter,Black,1595,2.499041778,2.642140468,178
2005,Sutter,White,48583,1.089689536,1.000668896,2193
2005,Sutter,Hispanic,22588,1.292832503,0.94180602,1111
2005,Sutter,Asian/Pacific Islander,12166,0.368723649,0.379264214,191
2005,Tehama,All Combined,60461,1.700268302,1.385953177,3949
2005,Tehama,Black,335,3.546952856,4.791973244,55
2005,Tehama,White,45591,1.809122269,1.452173913,3153
2005,Tehama,Hispanic,11441,1.413568417,1.239464883,637
2005,Trinity,All Combined,13789,1.083940207,1.319732441,662
2005,Trinity,White,11737,1.178995784,1.487625418,622
2005,Tulare,All Combined,408403,1.408202376,1.466889632,24563
2005,Tulare,Black,5412,3.831353009,4.177257525,892
2005,Tulare,White,152002,1.128401686,1.214046823,7348
2005,Tulare,Hispanic,229349,1.60099655,1.622742475,15595
2005,Tulare,Asian/Pacific Islander,13578,0.657723266,0.91638796,427
2005,Tuolumne,All Combined,56452,1.352625527,1.073578595,3056
2005,Tuolumne,White,47308,1.449597547,1.118394649,2727
2005,Tuolumne,Hispanic,5340,1.026446915,1.089632107,237
2005,Ventura,All Combined,796866,1.101188195,0.764548495,33711
2005,Ventura,Black,13496,2.436565734,2.418729097,1400
2005,Ventura,White,421926,0.828669989,0.584615385,13050
2005,Ventura,Hispanic,294467,1.610962054,1.084280936,18526
